Name,ratings,Number of ratings,catagory,address,open 24 hrs,link,comments
LASIK SIGHT CENTER,5,2,Medical Center,"NIHARIKA CONCORD TOWER, Kemal Ataturk Ave",No,,
Combined Military Hospital (CMH),4.5,831,Military hospital,"R97X+QHJ, C.M.H In Road",Yes,https://www.army.mil.bd/,"""The hospital is well equipped."""
Siraj-Khaleda Memorial Cantonment Board General Hospital,3.8,121,Hospital,1206 Rd No. 04,Yes,http://www.siraj-khaledatrust.org/health/,"""This hospital is especially buildup for civilian and armed personnel."""
Shuprovath Family Clinic,,,Hospital,RC59+CJF,No,,
কৃএিম প্রজনন পয়েন্ট,,,Hospital,·,No,,
Sheikh Russel National Gastroliver Institute & Hospital,4.3,399,Hospital,·,Yes,,"""Fully equipped modern hospital."""
মায়া প্রাঃ হাসপাতাল,,,Hospital,"236 Rd No 31, mymensing bBangladesh",,,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka-1212",4.1,396,Hospital,Shaheed Tajuddin Ahmed Ave,Yes,http://www.dncc-dch.gov.bd/,"""All the pathological investigation are available. All the facilities of this ..."""
Dhaka Infectious Diseases Hospital,4.2,167,Hospital,,No,http://facilityregistry.dghs.gov.bd/org_profile.php?org_code=10000070,
shayek hospital,3.3,3,Hospital,QCH4+259,No,,
"International Centre for Diarrheal Disease Research, Bangladesh",4.6,394,Hospital,Shaheed Tajuddin Ahmed Ave,Yes,http://www.icddrb.org/,
BGMEA HEALTH CENTER Niketon,,,Hospital,"Block G Road 14/A, Rd No 3",,,
City Medical,,,Hospital,"QCH5+FFM, TB Gate Rd",,,
Physiotherapy & Rehabilitation Center,5,2,Hospital,IPH Rd,Yes,,
NIDCH,4.2,521,Government hospital,·,Yes,http://www.nidch.gov.bd/,
Doctors support Centre,,,Hospital,"74, B/A, Wierless Gate, Mohakhali, C/A, ঢাকা",Yes,,
National kalaazar elimination conference room,,,Hospital,95 গুলশান বাড্ডা সংযোগ সড়ক,,,
Square Hospitals Limited | Corporate Office,5,2,Hospital,"48, Square Centre, Bir Uttam AK Khandakar Rd",No,,
SA ATIF,,,Hospital,"Mohakhali, Dhaka 7TALA",,,
Institute Of Leprosy Control Hospital,4.3,14,Government hospital,QCH5+RJQ,Yes,,
National Ashtma Center,4.3,11,Hospital,"QCG5+FQ7, TB Gate Rd",Yes,http://www.nidch.gov.bd/,
RASEL PHARMACY,,,Hospital,QCG3+GRH,,,
Sheikh Russel National Gastroliver Institute & Hospital,4.3,399,Hospital,·,Yes,,
"Sahic -সাহিক হসপিটাল(নাক,কান,গলা-ENT)",4.4,55,Hospital,Institute of Public Health Road,No,https://sahic.org/,
Kustho Niyontron Institute & Hospital,3.7,3,Government hospital,"QCH5+RJX, TB Gate Rd",Yes,,
National Chest Department,4.6,11,Government hospital,·,Yes,http://www.nidch.gov.bd/,
National Center for Hearing and Speech for Children (SAHIC),4.2,152,Hospital department,"Mohakhali Health Complex, Unnamed Road",No,http://sahic.org/,"""Every doctors are of above average quality."""
National Institute of Cancer Research & Hospital (NICRH),4.3,309,Cancer treatment center,TB Gate Rd,Yes,http://nicrh.gov.bd/,"""Single comprehensive cancer hospital in Bangladesh."""
Lifeline Medical Service Ltd,3.7,30,Private hospital,"Rahman Mansion, 75 Wireless Gate",No,,"""A good team of doctors are available."""
মায়া প্রাঃ হাসপাতাল,,,Hospital,"236 Rd No 31, mymensing bBangladesh",,,
Life Care Medical Center,4.5,10,Medical Center,"JA 28, 8-D Bir Uttam AK Khandakar Rd",No,,"""Lots of beautiful environment inside the medical."""
ICVB,,,Hospital,"Q9GX+GV9, icddr'b",,,
সংক্রামক ব্যাধি হাসপাতাল জামে মসজিদ,5,1,Hospital,QCG4+44H,,,
Metropolitan Medical Centre Ltd.,3.7,155,Medical Center,"46, Shaheed Taj Uddin Ahmed Sarani Tangail Bus Stand Er Kache",Yes,http://www.mmclbd.net/,"""There are some experienced doctors in this"
Ahmad Sharif,,,Hospital,"QCJ4+8W4, Toll Booth, Jatrabari Gulistan Flyover",,,
Sami Dental Care,4.2,5,Hospital,KA-68/2,No,,"""With the excellent behaviour it has become popular to all specially to ..."""
কৃএিম প্রজনন পয়েন্ট,,,Hospital,·,No,,
7 TALA,5,1,Hospital,QCH4+9GW,,,
C/A,5,1,Hospital,QCH3+PRR,Yes,,
জাতীয় ক্যান্সার গবেষণা ইনস্টিটিউট হাসপাতাল,4.2,13,Hospital,TB Gate Rd,,,"""... cancer hospital in Bangladesh all treatment are free here including ..."""
EPI HEadquater,4.5,6,Hospital,QCH2+F36,,,"""It's an important place where all ..."""
AI- Madina Medical Services,3,4,Medical Center,"4 Mohakhali, Amtoli, Mohakhali C/A Dhaka",,http://al-madinamedicalbd.com/,
Physiotherapy Center,5,1,Hospital,"QCH5+QG8, TB Gate Rd",,,
Saadiq Medical Services Ltd.,3,2,Medical Center,"82, 2nd floor, Mohakhali Tower opposite of Titumir college, Dhaka",No,http://saadiqmedical.com/,
"Block-B,Administration Building,NICRH",4,1,Hospital,"QCH5+7M3, TB Gate Rd",,,
প্রাপ্তি মেডিসিন,,,Medical Center,QCF2+QWR,,,
Briddhi,,,Maternity hospital,"4th Floor, house, 429 Rd 30",,http://briddhi.xyz/,
"VARD Primary Eye Care Center, Chhatak",,,Hospital,"Q9FX+XVG, Mondalivog,Dakbanglu Road",No,http://www.vardbd.org/,
Ever Green,,,Medical Center,"2nd & 3rd floor, The Flamenco, 32 Dhaka - Mymensingh Hwy",,http://evergreenmedicalbd.com/,
Lab Asia Diagnostic Centre,,,Hospital,QCF4+V5H,,,
Universal Medical College Hospital Ltd.,3.8,313,University hospital,"74G/75, Pea-cock Square, New Airport Road",Yes,https://umchltd.com/,"""Universal Medical College and Hospital."""
Patowary Diagnostic Centre,4,2,Hospital,"Niketon Bazar Gate, Outside of Niketon 5th Gate, Bir Uttam Mir Shawkat Sarak",,,
Metro Hospital,3,2,Hospital,Bus Terminal,,,
ফিজিওথেরাপি,5,2,Hospital,QCG6+XM2,No,,
Computerized Homeopathy Research Center,5,2,Hospital,"GP cha 43, gazi monjil, Wireless Gate Rd",,,
SUSPharma,,,Medical Center,·,Yes,,
Index Sales Center,4,1,Medical Center,"Amtoli, Dhaka - Mymensingh Hwy",,,
OPD Department (ICDDRB),4.4,15,Hospital,"Q9GX+MJV, Shaheed Tajuddin Ahmed Ave",Yes,http://labservices.icddrb.org/,
SB diagnostic center,5,1,Hospital,189/B Bir Uttam Mir Shawkat Sarak,,,
York Hospital,4.3,28,Hospital,"House no.12 &, 13 Rd 22, Block#K",Yes,,"""The hospital is good in cleanliness, professionalisms and service"""
Life line physiotherapy Center,,,Hospital,QCJ4+667,No,,
MedPark Hospital Bangladesh Office,,,Hospital,Plot 2 Rd 21,No,,
MediScan Teleradiology Solutions,5,3,Hospital,·,Yes,http://www.mediscanbd.com/,"""Nice Hospital🥰🥰 nice Service🥰🥰"""
Banani Clinic Ltd.,4,5,Hospital,"QCC4+WQJ, Rd No 13C",Yes,,
Fatema Dental Care,5,3,Hospital,"কলেরা হাসপাতালের পিছনে, জিপি ক -৬৪, মহাখালী দক্ষিণ পাড়া",No,https://www.facebook.com/Fatema-Dental-Care-107065095378815/,
ত্রিশাল উপজেলা স্বাস্হ্য কমপ্লেক্স।,,,Hospital,"Q9PX+JVP, Dhaka - Mymensingh Hwy",,,
আনসার ক্যাম্প,,,Hospital,01836-364142,,,
GK Pharma LTD.,4,2,Hospital,"103, Rahman Vaban",No,,
Cure Medical Center,4.5,12,Hospital,16 Rd No 16 Dhaka 1212 Rd 16,No,,
Vaccine Bangladesh,,,Medical Center,"Vaccine Bangladesh, Room-401, Lift-4, Life Care Medical Centre, Haque Tower, JA-28/8-D, Mohakhali opposite of Brac Tower",Yes,,
IndoMedHub Bangladesh,,,Medical Center,"205, Hashim Tower, 8th Floor, Suite 8B, 1-A Bir Uttam Mir Shawkat Sarak",No,http://indomedhub.com/,
Popular Medical College Hospital,3.7,3,Medical Center,"House: 08, Road: 02 Dhaka",,http://popular-hospital.com/,
Prarthona Rehabilitation center,5,1,Hospital,"330/4/ka/0, ঢাকা",,,
"Square Hospital Consultation & Diagnostic Center, Banani",3.8,11,Hospital,"Classic Tower (2nd Floor), House-1, Road-11, Block-F",No,,
Dhaka Healthcare Systems Ltd.,4,2,Hospital,"House # 07 Road # 08 , Madani Avenue, baridhara j block Rd",Yes,,
Delta Medical Center Ltd,4.7,6,Medical Center,27 Road 01,No,,
"National Institute of Ear, Nose And Throat (ENT), Bangladesh",4.2,436,Government hospital,"Tejgaon Thana Health Complex, Love Rd",No,http://www.nient.gov.bd/,"""In this hospital there are four type of beds to admit."""
Bumrungrad Hospital Dhaka Office,4.9,36,Medical Center,Rd 21,No,https://www.thaimedixpress.com/,"""We are so blessed in Bangkok to have one of the top hospitals in the nation."""
Bumrungrad International Hospital Bangladesh,5,2,Hospital,154 Rd 11,Yes,https://www.bumrungradbangladesh.com/,
BGMEA HEALTH CENTER,5,1,Hospital,"Niketan, G64",No,,
United Hospital Limited,4,"1,508",Private hospital,Plot 15 Rd No 71,Yes,https://www.uhlbd.com/,"""Over all this hospital is one of the renowned hospital of Bangladesh."""
Parkway Health DMRC,4,1,Hospital,"Suit B-3, Level 4, House 10, Rd 53",Yes,,
yolk hospital limited,,,Hospital,QCW2+J5W,,,
LABAID GULSHAN,3.7,143,Private hospital,"House # 13/A(4th Floor, Road#35",No,http://labaidgroup.com/specialized,"""A very good medical center, hospital and laboratory."""
The Concept Home Health Care agency,5,1,Hospital,"88/A, Comilla Para Rd",,,
MH Samorita Hospital & Medical College,4.1,200,Hospital,117 Love Rd,Yes,http://www.mhsamorita.edu.bd/,"""Hospital and medical college"""
Impulse Hospital,4.3,3,Hospital,79 Shaheed Tajuddin Ahmed Ave,Yes,,"""A modern hospital gaining popularity by days."""
Sultan General Hospital,4,26,General hospital,84 Dhaka - Mymensingh Hwy,Yes,http://sultangeneralhospital.com/,"""Important Hospital in this area."""
DNCC Dedicated Covid-19 Hospital,,,Hospital,Shaheed Tajuddin Ahmed Ave,Yes,http://dncc-dch.gov.bd/,
Nanavati Max,,,Hospital,"House #21, Bashati Horizon, Level 9, Block # C Rd No 17",,http://nanavatimaxcarebd.com/,
Impulse Hospital,3.7,450,Hospital,304/E Shaheed Tazuddin Avenue,Yes,https://impulsehospital.com/,"""Hospital is a chamber for multiple doctors."""
Broto dental orthodontic,,,Hospital,"Road 7.. house no 71..South, Dhaka",,,
Medilink Hospital,4,14,Hospital,QCJG+7G8,Yes,,"""Poor service,not a good hospital"""
"BRAC MATERNITY CENTER (BMC), Korail",,,Maternity hospital,QCP6+2H7,Yes,http://brac.net/,
cardihope hospital,,,Hospital,2 Gulshan Ave,,,
Rainbow Hearts Madical Centre,3.9,7,Hospital,"House No # 79, (2nd floor Block # J, Airport Road Banani",No,https://www.rhmcbd.com/,
AMZ Hospital Ltd.,4.2,176,Hospital,·,Yes,http://www.amzhospitalbd.com/,"""They have advance facilities that I didn't see in other hospitals ."""
"BRAC MATERNITY CENTER (BMC), MOGHBAZAR, DHAKA",,,Maternity hospital,QC85+8V5,Yes,http://brac.net/,
Stroke & Neuro Rehab Clinic | Senior Citizen Hospital,5,1,General hospital,"Stroke & Neuro Rehab Clinic, Piles Clinic, House# 8, Road# 8, Baridhara Block# J Dhaka",Yes,,
Ad akher ali,,,Hospital,"80 Shaheed Tajuddin Ahmed Avenue, Dhaka 1208, Bangladesh",,,
Medica Diagnostic & Hospital Management Software,5,1,Hospital,"QCV4+GV6, Kemal Ataturk Ave",No,,
Bumrungrad Hospital Bangladesh | Patient Support Center In Gulshan Dhaka | Book Your Doctor Appointment at Bumrungrad,4.8,16,Medical Center,"Infront of Bank Asia, Monsur Tower, Lift 8 Rd 130",Yes,https://www.bumrungradbangladesh.com/home,"""All kinds of services are available in the hospital."""
CURE Specialized hospital ltd,2.4,23,Hospital,109 Bir Uttam Ziaur Rahman Rd,,,"""Hospital and treatment are so good."""
Reliance Medical Services,4.2,11,Diagnostic center,QCJ5+677,Yes,,
Proposed Hospital,,,Hospital,MA 33/C Bir Uttam Rafiqul Islam Ave,,,
BANGKOK HOSPITAL OFFICE BANGLADESH,4.1,10,Hospital,"Block G, Level 4, House 32, Road 11",No,http://www.lifeandhealthbd.com/,
Badda General Hospital Pvt. Ltd.,3.8,102,Hospital,"QCHG+MHV, 107/2, Uttar Badda, Progoti Sarani",Yes,,"""There was only one doctor in the hospital."""
Directorate General of Health Services (DGHS),4.1,293,Government office,লিংক রোড,No,http://www.dghs.gov.bd/,Their website mentions
CPHD General Hospital Ltd.,4,2,General hospital,24 Shaheed Tajuddin Ahmed Ave,Yes,,
"Nari Maitree, PHCC-5, Tetultola, Uttor Badda, Dhaka",,,Hospital,"Sha-72,, Sha-72 Tatultola Rd",,,
Comunity Based Health Care Project Bangladesh,,,Community health centre,"Infectious Diseases Hospital, Unnamed Road",No,,
Rainbo Hart Medical,,,Hospital,"House no 75, 13A রোড নং:- ৪",,,
বনানী ক্লিনিক লিমিটেড,4,39,Hospital,"Block-C, House # 116 Rd No-15",Yes,https://m.facebook.com/bananihospital/,"""Good care, treatments hospital."""
Square Hospitals Ltd.,4.1,"2,099",Hospital,"18 Bir Uttam Qazi Nuruzzaman Sarak West, Panthapath",Yes,https://www.squarehospital.com/,On-site services
East wast medical hospital,,,Hospital,"QCJF+WCR, DHasB",,,
আবিসিনিয়া হেল্থ কেয়ার এন্ড মেডিকেল চেক-আপ সেন্টার,4,1,Medical Center,QCR4+M3V,Yes,,
twelve rivers trust,,,Hospital,"Flat-6C, H-7 Rd 33",,,
Gulshan shasthoseba kendra,5,1,Hospital,"QCR9+2V3, Rd No 113/A",No,,
Medinova Medical Services Ltd.,3,2,Medical Center,71/A Road No. 5,,,
Aalok Healthcare Ltd.(Mohakhali-SAHIC),,,Medical diagnostic imaging center,Q9GX+RR,No,http://www.aalokhealthcare.com/,
Baridhara Genarel Hospital Ltd.,3.7,23,Hospital,·,Yes,,
Hospital,,,Hospital,01674-179400,,,
আল রাজী হাসপাতাল লিমিটেড,4.2,27,Hospital,"Concord Center Point, Kazi Nazrul Islam Ave",Yes,,"""Popular hospital in Farmgate area"""
Alit daigunesti sentar,,,Hospital,"Q9CR+F2R, Bir Uttam Ziaur Rahman Rd",,,
CONFIDENCE MEDICAL CENTRE,,,Medical Center,"191/1, 1208 Bir Uttam Mir Shawkat Sarak",No,https://confidencemedicalcenter.com/,
Universal Medical Checkup Center,,,Hospital,"52 (Old Ka, 15/6 Shaheed Tajuddin Ahmed Ave",No,https://umccbd.com/,
M.R Center,5,1,Hospital,"Shorgo, Level-10th, House # # # E, Banani C/A, 1213., 49 Rd No 17",,,
DR. AZMAL HOSPITAL LTD.,3.8,132,Private hospital,Plot 5 Rd No. 4,Yes,http://azmalhospital.com/,
Mirpur General Hospital & Diagnostic Centre,4,22,Hospital,"Plot No-10, Road No. 4",Yes,,
Aalok Healthcare Ltd. (Mirpur-10),3.7,257,Medical Center,House# 1& 2 Road# 2 Block# B Section # 10,No,https://www.aalokhealthcare.com/,
Al Helal Specialized Hospital Dhaka,3.5,238,Hospital,"150, Begum Rokeya Sarani, Mirpur-10",Yes,https://alhelalhospitalbd.com/,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Mirpur Holy Crescent Hospital (Pvt.) Ltd.,3.6,17,Hospital,195 Mazar Rd,Yes,,
OGSB Maternity Hospital,4.1,75,Hospital,Zoo Road,No,http://www.ogsb.org/,
Delta Health Care Mirpur Ltd,3.9,75,Hospital,"11, Central Mosque, Bus Stand Mirpur",Yes,,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Aalok Hospital,3.3,25,Private hospital,Q9V3+J86,No,,
Centre for the Rehabilitation of the Paralysed (CRP) - Mirpur,4.3,326,Hospital,"Plot A/5, Block A",No,http://www.crp-bangladesh.org/,
Islami Bank Hospital Mirpur,4,405,Hospital,"Plot No 31, Main Road 3, Near Purobi Bus Stop Begum Rokeya sarani, Block-D",Yes,http://www.ibf-bd.org/,https://ssl.gstatic.com/local/servicebusiness/default_user.png
"Square Hospital Consultation Center, Mirpur",4,7,Hospital,"Madhuri Bhaban (3rd Floor), Holding- 2 Road No- 3, Section- 7, Bus Stand",No,,
Exim Bank Hospital,3.9,91,Hospital,"840, Begum Rokeya Avenue Sarani",Yes,https://www.eximbankbd.com/,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Al-Shafi Hospital,2.8,16,Hospital,"House 9, Road 6, Block A, Section 10, Mirpur",Yes,http://www.facebook.com/alshafihospitalbd,
"National Healthcare Network, Ibrahim General Hospital, Birdem, Mirpur",4.1,61,Hospital,"Commercial Plot No: 27-28, Main Road 01 mirpur",Yes,http://www.nhn-dab.org.bd/,
Delta Hospital Ltd.,3.7,102,Hospital,2 Tolarbag 1st Ln,Yes,https://delta-hospital.com/,
Rongdhonu Hospital (Urban Hospital),5,7,Hospital,1 Rd No. 1,Yes,https://rongdhonu-hospital-urban-hospital-hospital.business.site/,
OSB EYE HOSPITAL,3.8,89,Hospital,"Plot-7/2, OSB Bhaban, Plot # 7/1, Road # 1, Section # 2, Mirpur, Mirpur Rd",No,,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Medi Home Hospital,4.2,9,Hospital,38 Kamal Soroni Rd,Yes,,
Medinova medical services-Mirpur 10,4.1,29,Hospital,"R948+JXX, Mirpur Rd",Yes,,
Unique General Hospital,,,Hospital,"House No.17, Road No.1, Block-F, Mirpur-1, Beside Electric Office",Yes,,
Dr. Amanat Khan Hospital and Diagnostic Center,3.7,21,Hospital,"Amanat Khan Hospital and Diagnostic Center, 1 Dr Amanat Khan Hospital Rd",No,,
M General Hospital and Diagnostic Center,,,Hospital,"House- 1216, 35 Rd No. 8",No,,
Obstetrical & Gynaecological Society of Bangladesh Hospital,4.3,59,Hospital,R95J+7RR,Yes,http://www.ogsb.org/,
shosti clinic,4,1,Hospital,10 Road No. 03,No,http://www.eminence-bd.org/,
MIST Medical centre,3.4,5,Hospital,R9Q5+GWG,,,
"Mirpur General Hospital & Diagnostic Centre, Rupnagar Branch",4.3,6,Hospital,"House No 16, Road No 10 Rupnagar R/A, Adjacent to Monirpur School",Yes,,
"Marie Stopes Premium Maternity Clinic, Mirpur-10",3.9,31,Maternity hospital,"Block-A, House-02 Rd No. 4",Yes,https://www.mariestopes.org.bd/,
Kingston Hospital,4,141,Private hospital,"House: 51-54, Road: 01 & 02, Block: D, Shahidbag, mirpur-12",Yes,http://www.kingstonhospital.com.bd/,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Life Aid Specialized Hospital Pvt. Ltd.,3.7,42,Private hospital,Begam Rokeya Sarani Avenue,,,
Clinic,,,Hospital,2 Mirpur Rd,,,
BGMEA Medical Center,5,5,Hospital,"Section-7, House No.5, Milk Vita Road, Mirpur",No,http://www.facebook.com/tb.medicine.mirpur/,
B.A.V.S Maternity Hospital,4,32,Maternity hospital,"7/5/1, Borobagh Main Road, Mirpur-2, Beside Thana",Yes,,
BIHS General Hospital,4.1,315,Hospital,"125, 1 Darus Salam Rd",Yes,http://www.bihsh.org.bd/,
"Mirpur General Hospital And Diagnostic Centre, Mirpur-12",4.5,4,Hospital,"14/11 Mity Plaza, Mirpur-12, Dhaka",Yes,,
Dr. Nurul Islam Hospital,5,1,Hospital,"Mirpur 2 no Road, Dhaka",Yes,,
New Al Rashid General Hospital,5,1,Hospital,"Q9X3+8JF, Mirpur Rd",Yes,,
KIDZ genearl hospital,,,Hospital,"R9C8+83Q, Unnamed Road",,,
O. G. S. B Hospital & Institute of Reproductive & Child Health,4,2,Private hospital,"House: 5, Block: G, Rd No. 2",Yes,http://www.ogsb.org/,
M General Hospital and Diagnostic Center,,,Hospital,"House-35, Main Roqd, 1216, Mirpur 10 Roundabout",No,,
Global Specialized Hospital,3.7,23,Hospital,"282, Almas tower, 1 Mazar Rd",Yes,,
Islami General Hospital and Diagnostic Center,4.3,4,Hospital,"62, 63 manipur, shekh Kamal road, Kamal Soroni Rd",Yes,,
Newton maternity clinic,3.8,5,Hospital,"Q9X3+R2G, Rd Number 6",,,
B.M. Hospital,4,7,Hospital,·,No,,
DAKTER SEBA,,,Hospital,1 Rd No. 1,,,
Health labs hospital,3,1,Hospital,Health labs hospital,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Majar General Hospital,2.6,5,Hospital,Q9W2+F23,Yes,,
Bangladesh Specialized Hospital,3.3,888,Private hospital,21 Mirpur Rd,Yes,http://www.bdspecializedhospital.com/,https://ssl.gstatic.com/local/servicebusiness/default_user.png
jasim medecal center,,,Hospital,11 Road No 6,,,
Dr. MR Khan Shishu hospital & Institute of Child Health,4,249,Children's hospital,"6/2, Section-02",Yes,https://mrkich.org/,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Marks Medical College and Hospital,4.1,13,Hospital,R9C8+W5M,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Marks Hospital,2.7,3,Hospital,A/3 Main road,Yes,https://marksmedicalcollege.edu.bd/marks-hospital/,
"Dakterkhana, Mirpur-10, Dhaka",,,Medical Center,"Doctor’s Table” House-07, Lane- 03, Block- B, Section- 10, Mirpur Opposite to the Mosque of Shaheed Abu Taleb School Dhaka",,,
Dhaka Eye Institute,4,1,Hospital,"sony hall, 01",,,
TMSS Maternity Hospital,4.4,15,Maternity hospital,631/5 West Kazipara,Yes,,
"Bangladesh Eye Hospital, Mirpur",4.7,40,Hospital,"Sumi Tower, 66 Zoo Road",No,http://mirpur.bdeyehospital.com/,https://ssl.gstatic.com/local/servicebusiness/default_user.png
BMI Hospital,4.8,4,Hospital,R956+FWR,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Homeopathic Charitable Hospital - হোমিওপ্যাথিক চ্যারিটেবল হাসপাতাল,5,2,Hospital,Section 14,No,https://www.facebook.com/Homoeopathic-Charitable-Hospital-456289795151959/,
ডাক্তার সেবা,5,1,Medical Center,"1-C, Avenue-1, House No. 13/15",,,
Khandker Mahbub Hossain Eye Hospital,3.8,19,Hospital,,No,http://www.kmheyehospitaldhaka.com/,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Radda MCH-FP Centre (Mirpur-10),4.7,69,Hospital,Plot # 03 Mirpur Rd,No,http://www.raddacentre.org/,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Dhaka Monorog Clinic,3.8,23,Specialized hospital,"House no 13, Road no 1, Block A",Yes,,
Mirpur ICDDRB TB screening centre,4.8,12,Hospital,"Road 1, Mirpur 11, House No 2, Block 2 Opposite Standar Chartered Bank",No,http://www.icddrb.org/,https://ssl.gstatic.com/local/servicebusiness/default_user.png
BRAC TB office,,,Hospital,26-1 Mirpur Rd,,,
Mirpur general hospital physiotherapy centre,4.8,5,Hospital,"R9C9+97M, Kalshi Rd",Yes,,
National Heart Foundation Hospital & Research Institute,4.3,"1,143",Heart hospital,Plot-7/2,Yes,http://www.nhf.org.bd/,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Al Biruni Hospital And Diagnostic Service,5,1,Hospital,3 Mirpur Rd,No,,
The Ultima,5,1,Hospital,"House 30 11, Rd No 3",,,
Health Care Urology & General Hospital Ltd.,3,2,Hospital,1086/B Habibullah Rd,Yes,,
আরবান হাসপাতাল,,,Hospital,Q8RW+MP6,Yes,,
Dhaka Health Care Hospital,,,Hospital,"Muktijoddha Tower-1(4th Floor), College Gate",,,
Confidence Diagnostic Ltd,3.6,8,Hospital,"820, Mamun Tower, Shewrapara Bus Stand (West Side)",No,,
New national heart Foundation,,,Hospital,01883-237932,,,
"Aalo Clinic, Mirpur (আলো ক্লিনিক, মিরপুর)",3,2,Hospital,Rupnagar Rd,No,https://aloclinic.dghs.gov.bd/,
Saic Medical Institute Tecnology,,,Hospital,·,No,,
Cure Health Center,4,6,Hospital,"House 1, Road 17",No,,
Dhaka Eye Hospital,4.1,52,Hospital,5 Mirpur Rd,No,https://bdeyehospital.com/,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Aalok Healthcare Ltd. (pallabi),3.9,27,Diagnostic center,"1/2, 11",No,https://aalokhealthcare.com/,https://ssl.gstatic.com/local/servicebusiness/default_user.png
"Elderly & Senior Home nursing Care, Dhaka, Bangladesh",,,Hospital,Mirpur 01,No,http://nursinghomeservicesbd.com/,
Brothers (মাদকাসক্ত কেন্দ্র),,,Hospital,"R82X+4CW, Rd No. 3",,,
Amena Clinic,,,Maternity hospital,"Uttar Pata, Dhamrai, Holding no: F-18, Ward no: 04 Dhaka",No,,
Jatrabari General Hospital Ltd,4.5,2,Hospital,PC5Q+698,No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,"""Overall development hospital in Jatrabari area."""
Bangladesh Community General Hospital,4.2,10,General hospital,Dhaka - Demra Highway,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Supreme Medical Services Limited,3,27,Medical Center,38 Shahid Faroque Rd,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,"""Their hospitality was."""
pacific diagnostic centre,5,2,Hospital,"1st floor, 37 Shahid Faroque Rd",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
"Delta Health Care, Jatrabari Limited",3.5,59,Hospital,"MCXM+QJJ Building B, 169/1",Yes,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""Nice and best hospital in dhaka city"""
Al-Hakim eye hospital and Phaco Center,4.9,47,Hospital,"249/4, Haque plaza(deffodil South jatrabari, Dhaka 1204",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,"""A well decorated and family oriented Hospital"""
South Asia Eye Hospital,5,3,Hospital,"PC5M+GM5, Dhaka - Mawa Hwy",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
ইসলামিয়া জেনারেল হাসপাতাল,3.9,34,Hospital,PC7J+68Q,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,"""Islamia General Hospital is good hospital"""
Medi Bangla General Hospital,4,19,Hospital,"PC4J+7W5, New Road",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Jatrabari Eye Hospital,4,2,Hospital,"Mona Tower, 16/A Sahid Muktijoddha Faruk Iqbal And Taslim Rd",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Bangladesh Eye Foundation & Phaco Center,4.7,6,Hospital,"2nd, 92 Shahid Faroque Rd",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,"""The hospital is very good and Prof.Dr.G.M."""
Jeise General Hospital & Diagnostic Center,,,Private hospital,"294/2, South Jatrabari",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Eye Foundation Hospital,,,Hospital,90 Shahid Faroque Rd,No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
সাফা মারওয়া হাসপাতাল যাত্রাবাড়ী,4.7,15,Hospital,·,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Doctors Lab & Hospital,4.2,6,Hospital,Dhaka - Demra Hwy,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Safa Marwa Hospital & Diagonstic Centre,4.6,9,Hospital,·,Yes,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
Al Baraka Diagnostic Complex ltd,3.6,15,Hospital,"PC5M+W68, Dhaka - Sylhet Hwy",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
